Humidity,Wind_Speed
20,5.75
21,4.681818181818182
22,3.2
23,2.3333333333333335
24,5.909090909090909
25,4.666666666666667
26,7.7
27,6.833333333333333
28,6.75
29,5.0
30,6.25
31,7.0
32,5.2
33,6.7
34,4.25
35,3.6
36,6.75
37,3.75
38,4.625
39,6.5
40,5.833333333333333
41,8.3
42,5.4
43,5.0
44,7.333333333333333
45,6.333333333333333
46,4.214285714285714
47,7.1
48,6.2727272727272725
49,6.916666666666667
50,5.625
51,6.5
52,7.75
53,5.6875
54,7.944444444444445
55,5.409090909090909
56,5.5625
57,5.6923076923076925
58,6.541666666666667
59,6.65
60,9.095238095238095
61,7.825
62,7.588235294117647
63,9.326923076923077
64,8.676470588235293
65,8.76086956521739
66,7.4411764705882355
67,7.95
68,7.675
69,8.307692307692308
70,9.229166666666666
71,10.0
72,10.738095238095237
73,11.166666666666666
74,9.9375
75,12.368421052631579
76,9.026315789473685
77,8.125
78,13.066666666666666
79,10.3
80,13.066666666666666
81,11.3
82,13.13888888888889
83,13.441176470588236
84,17.928571428571427
85,12.464285714285714
86,12.125
87,10.1
88,14.928571428571429
89,10.615384615384615
90,14.375
91,11.9
92,15.75
93,9.75
94,9.222222222222221
95,13.4
96,11.047619047619047
97,12.63888888888889
98,11.916666666666666
99,14.727272727272727
100,20.0
101,16.4
102,22.5
103,16.3
104,14.3
105,10.0
106,21.166666666666668
107,15.5
108,15.25
109,11.0
